repo,total commits,affected commits,filter-affected commits,affected commits percentage,filter-affected commits percentage
OpenRefine,100,13,0,13.0,0.0
orbit,100,6,0,6.0,0.0
ormlite-android,100,37,0,37.0,0.0
Osmand,100,10,1,10.0,1.0
otter,100,31,1,31.0,1.0
otto,100,15,1,15.0,1.0
packer-ng-plugin,100,20,1,20.0,1.0
packr,100,22,2,22.0,2.0
paper-onboarding-android,64,4,0,6.25,0.0
parboiled,100,14,1,14.0,1.0
PermissionsDispatcher,100,10,0,10.0,0.0
Phoenix,72,15,0,20.833333333333332,0.0
phonegap-plugins,100,4,0,4.0,0.0
PhotoNoter,100,60,0,60.0,0.0
PhotoView,100,47,1,47.0,1.0
phrase,43,9,1,20.930232558139537,2.3255813953488373
physical-web,100,34,0,34.0,0.0
picasso,100,29,0,29.0,0.0
pixel-dungeon,25,8,0,32.0,0.0
PLDroidPlayer,100,25,0,25.0,0.0
plugins,100,2,0,2.0,0.0
ProductTour,51,6,0,11.764705882352942,0.0
ProgressWheel,93,22,1,23.655913978494624,1.075268817204301
PullZoomView,27,14,0,51.851851851851855,0.0
pysonar2,100,56,1,56.0,1.0
qianghongbao,56,18,1,32.142857142857146,1.7857142857142858
Quality-Tools-for-Android,100,6,0,6.0,0.0
querydsl,100,34,1,34.0,1.0
QuickReturn,100,30,1,30.0,1.0
quickstart-android,100,19,1,19.0,1.0
ratpack,100,17,0,17.0,0.0
react-native,100,26,1,26.0,1.0
react-native-camera,100,14,2,14.0,2.0
react-native-video,100,9,0,9.0,0.0
realm-java,100,17,0,17.0,0.0
reark,100,53,0,53.0,0.0
rebound,100,21,0,21.0,0.0
RecyclerView-FlexibleDivider,74,23,0,31.08108108108108,0.0
RecyclerViewCardGallery,23,8,0,34.78260869565217,0.0
RecyclerViewItemAnimators,37,14,0,37.83783783783784,0.0
Renderers,100,23,0,23.0,0.0
retrofit,100,25,0,25.0,0.0
road-trip,9,1,0,11.11111111111111,0.0
RoadRunner,40,19,0,47.5,0.0
roboguice,100,22,1,22.0,1.0
robovm,100,29,3,29.0,3.0
RocooFix,97,23,1,23.711340206185568,1.0309278350515463
rstudio,100,16,1,16.0,1.0
RxBinding,100,20,0,20.0,0.0
RxJava-Android-Samples,100,37,2,37.0,2.0
RxLifecycle,100,11,0,11.0,0.0
RxPermissions,100,28,1,28.0,1.0
RxVolley,84,47,1,55.95238095238095,1.1904761904761905
scalpel,58,16,2,27.586206896551722,3.4482758620689653
scissors,65,18,0,27.692307692307693,0.0
SeeWeather,100,71,3,71.0,3.0
Shimmer-android,39,8,1,20.512820512820515,2.5641025641025643
ShineButton,100,24,0,24.0,0.0
ShowcaseView,100,31,0,31.0,0.0
Side-Menu.Android,60,7,0,11.666666666666666,0.0
SimpleNews,37,18,0,48.648648648648646,0.0
SimplifyReader,46,10,2,21.73913043478261,4.3478260869565215
SlantedTextView,28,5,1,17.857142857142858,3.5714285714285716
SlidingMenu,100,38,0,38.0,0.0
SlidingTutorial-Android,97,23,0,23.711340206185568,0.0
Smack,100,52,6,52.0,6.0
Small,100,21,0,21.0,0.0
SmartTabLayout,100,31,2,31.0,2.0
smooth-app-bar-layout,100,24,0,24.0,0.0
SmoothCheckBox,5,3,0,60.0,0.0
SmoothProgressBar,100,25,0,25.0,0.0
socket.io-client-java,100,29,1,29.0,1.0
Space-Navigation-View,93,48,3,51.61290322580645,3.225806451612903
spark,100,38,0,38.0,0.0
spock,100,39,0,39.0,0.0
spring-boot,100,39,2,39.0,2.0
spring-boot-admin,100,34,0,34.0,0.0
spring-framework,100,52,1,52.0,1.0
spring-mvc-showcase,76,22,1,28.94736842105263,1.3157894736842106
spring-petclinic,100,9,0,9.0,0.0
spring-security-oauth,100,40,0,40.0,0.0
SpringIndicator,54,22,0,40.74074074074074,0.0
sqlbrite,100,17,1,17.0,1.0
StarWars.Android,23,4,0,17.391304347826086,0.0
StepView,100,38,0,38.0,0.0
StereoView,22,3,0,13.636363636363637,0.0
stetho,100,22,4,22.0,4.0
StickerCamera,53,32,0,60.37735849056604,0.0
StickyHeaderListView,63,34,0,53.96825396825397,0.0
StickyListHeaders,100,41,1,41.0,1.0
SublimePicker,52,5,0,9.615384615384615,0.0
sugar,100,58,3,58.0,3.0
superCleanMaster,43,16,0,37.2093023255814,0.0
SuperRecyclerView,48,16,1,33.333333333333336,2.0833333333333335
SuperSLiM,100,8,0,8.0,0.0
Surviving-with-android,100,1,1,1.0,1.0
swagger-core,100,33,2,33.0,2.0
sweet-alert-dialog,58,21,0,36.206896551724135,0.0
Swipecards,100,39,2,39.0,2.0
SwipeMenuListView,64,31,0,48.4375,0.0
SwipeStack,18,7,1,38.888888888888886,5.555555555555555
SwitchButton,100,41,0,41.0,0.0
SystemBarTint,63,20,3,31.746031746031747,4.761904761904762
tape,100,31,0,31.0,0.0
Taurus,21,2,0,9.523809523809524,0.0
Telecine,100,19,3,19.0,3.0
TextDrawable,11,1,0,9.090909090909092,0.0
TextSurface,14,5,0,35.714285714285715,0.0
ThreeTenABP,82,8,0,9.75609756097561,0.0
ticker,66,29,1,43.93939393939394,1.5151515151515151
tiger,47,5,0,10.638297872340425,0.0
timber,100,19,0,19.0,0.0
tomcat,100,29,1,29.0,1.0
TourGuide,100,29,2,29.0,2.0
TransitionPlayer,13,3,1,23.076923076923077,7.6923076923076925
TranslateApp,100,48,1,48.0,1.0
TrayNotification,54,13,0,24.074074074074073,0.0
twitter4j,100,49,0,49.0,0.0
u2020,100,14,1,14.0,1.0
ua-parser,100,4,0,4.0,0.0
uCrop,100,41,3,41.0,3.0
UltimateAndroid,100,21,1,21.0,1.0
unirest-java,100,36,1,36.0,1.0
UrlImageViewHelper,100,42,1,42.0,1.0
