project_name,commit_id,github_address,is_bug_fix
molgenis__molgenis,15621b6eeda8581bc8d7b7db110a83c01ecda83f,https://github.com/molgenis/molgenis/commit/15621b6eeda8581bc8d7b7db110a83c01ecda83f,not-bug-fix
classgraph__classgraph,9fd74d75c42e4281ac29b24d5aa173c58f725bf6,https://github.com/classgraph/classgraph/commit/9fd74d75c42e4281ac29b24d5aa173c58f725bf6,bug-fix
swagger-api__swagger-codegen,ddc5293e6a43713a8cbbb86de1b0b91014165dae,https://github.com/swagger-api/swagger-codegen/commit/ddc5293e6a43713a8cbbb86de1b0b91014165dae,bug-fix
INRIA__spoon,be7449b057fc6f60146ea340b79c6e1d28c5df2a,https://github.com/INRIA/spoon/commit/be7449b057fc6f60146ea340b79c6e1d28c5df2a,not-bug-fix
molgenis__molgenis,5b8a153d0ffde8b080a383c2a085207a6d70ebee,https://github.com/molgenis/molgenis/commit/5b8a153d0ffde8b080a383c2a085207a6d70ebee,not-bug-fix
AxonFramework__AxonFramework,2dd767dd0258110ea7f53303595c05a090f44b4d,https://github.com/AxonFramework/AxonFramework/commit/2dd767dd0258110ea7f53303595c05a090f44b4d,bug-fix
apache__incubator-servicecomb-java-chassis,d382693b6e4edc188ba37669a41b84640a460197,https://github.com/apache/incubator-servicecomb-java-chassis/commit/d382693b6e4edc188ba37669a41b84640a460197,bug-fix
swagger-api__swagger-codegen,8818c209df2d9dd49a6a40f2ae8bec348ad9c062,https://github.com/swagger-api/swagger-codegen/commit/8818c209df2d9dd49a6a40f2ae8bec348ad9c062,bug-fix
cpesch__RouteConverter,fba3ef891d8851854770bbbdf8c8d24ef0b2ce9e,https://github.com/cpesch/RouteConverter/commit/fba3ef891d8851854770bbbdf8c8d24ef0b2ce9e,not-bug-fix
pippo-java__pippo,093c7247495b14ae71fc680c52d2ca1fcdb86a4e,https://github.com/pippo-java/pippo/commit/093c7247495b14ae71fc680c52d2ca1fcdb86a4e,bug-fix
pippo-java__pippo,7f0a5c5630338ddd1dccbf94b22a15c10dfc064b,https://github.com/pippo-java/pippo/commit/7f0a5c5630338ddd1dccbf94b22a15c10dfc064b,bug-fix
square__javapoet,5f4072b8d9d62764339e8ce79778313396cc167d,https://github.com/square/javapoet/commit/5f4072b8d9d62764339e8ce79778313396cc167d,not-bug-fix
apereo__java-cas-client,d6f11f89a205c8039347ef59f97a700a9fe71c7e,https://github.com/apereo/java-cas-client/commit/d6f11f89a205c8039347ef59f97a700a9fe71c7e,not-bug-fix
HubSpot__Baragon,a0e7fa2683b40476c7a995b4be97a836bdea314e,https://github.com/HubSpot/Baragon/commit/a0e7fa2683b40476c7a995b4be97a836bdea314e,bug-fix
linkedin__pinot,e1235c8a3dc655a7e69157b5cc076c3d6a91c692,https://github.com/linkedin/pinot/commit/e1235c8a3dc655a7e69157b5cc076c3d6a91c692,bug-fix
vert-x3__vertx-web,9d2a78ff8a3c594de918c56a26f3f875547e4198,https://github.com/vert-x3/vertx-web/commit/9d2a78ff8a3c594de918c56a26f3f875547e4198,bug-fix
OpenFeign__feign,fc43eedbc510cf9bccb51361bf810bf5a8a41f08,https://github.com/OpenFeign/feign/commit/fc43eedbc510cf9bccb51361bf810bf5a8a41f08,not-bug-fix
albfernandez__GDS-PMD-Security-Rules,b7b2ecf673de651733034b03dc4dbcb314c190d5,https://github.com/albfernandez/GDS-PMD-Security-Rules/commit/b7b2ecf673de651733034b03dc4dbcb314c190d5,not-bug-fix
ctripcorp__apollo,c3c1856579139d1921a50d3db1a13b4d17933023,https://github.com/ctripcorp/apollo/commit/c3c1856579139d1921a50d3db1a13b4d17933023,not-bug-fix
openmrs__openmrs-module-webservices.rest,7a3f5fc443b3229de3733220dbdabadf169b09e4,https://github.com/openmrs/openmrs-module-webservices.rest/commit/7a3f5fc443b3229de3733220dbdabadf169b09e4,bug-fix
cpesch__RouteConverter,e3bd18db6d20abb1cbf91e42a8936356e342e01d,https://github.com/cpesch/RouteConverter/commit/e3bd18db6d20abb1cbf91e42a8936356e342e01d,not-bug-fix
org-tigris-jsapar__jsapar,37eac948eb94cedda4568afe7386138829652c16,https://github.com/org-tigris-jsapar/jsapar/commit/37eac948eb94cedda4568afe7386138829652c16,not-bug-fix
aws__aws-encryption-sdk-java,f6464b77621ed6c12e9fdb84f4d73cdedff3f168,https://github.com/aws/aws-encryption-sdk-java/commit/f6464b77621ed6c12e9fdb84f4d73cdedff3f168,not-bug-fix
molgenis__molgenis,abe3bfb93d73db0b440ddd0c832100a588306c76,https://github.com/molgenis/molgenis/commit/abe3bfb93d73db0b440ddd0c832100a588306c76,bug-fix
pippo-java__pippo,f16b9ca43bfce27499e1007a6749b2f4d77b67a3,https://github.com/pippo-java/pippo/commit/f16b9ca43bfce27499e1007a6749b2f4d77b67a3,not-bug-fix
Activiti__Activiti,f1ef80dc0d4f90c5c8db3c3df0c06aa7381ef6d3,https://github.com/Activiti/Activiti/commit/f1ef80dc0d4f90c5c8db3c3df0c06aa7381ef6d3,bug-fix
Activiti__Activiti,cb55856df647469d602aedfa537ceeebb0f7952f,https://github.com/Activiti/Activiti/commit/cb55856df647469d602aedfa537ceeebb0f7952f,bug-fix
apache__incubator-dubbo,3d82de129546c4c4d79b831e43959ad271b33f11,https://github.com/apache/incubator-dubbo/commit/3d82de129546c4c4d79b831e43959ad271b33f11,bug-fix
HubSpot__Baragon,4426dcdcbdffe1bcc12a6564e7c4eeb5046bb76f,https://github.com/HubSpot/Baragon/commit/4426dcdcbdffe1bcc12a6564e7c4eeb5046bb76f,not-bug-fix
apereo__java-cas-client,5686f256d6b1f25e72ab75a59749693c57dc209a,https://github.com/apereo/java-cas-client/commit/5686f256d6b1f25e72ab75a59749693c57dc209a,bug-fix
pippo-java__pippo,41ba46b47c29daa98995951673dffd228d10c827,https://github.com/pippo-java/pippo/commit/41ba46b47c29daa98995951673dffd228d10c827,bug-fix
HubSpot__Baragon,d0a6756084e69f1548a92ee1fe8dc0f178bbfade,https://github.com/HubSpot/Baragon/commit/d0a6756084e69f1548a92ee1fe8dc0f178bbfade,bug-fix
apache__incubator-servicecomb-java-chassis,aaaaf5b82fbe1b51383e432db62ef7747734fde0,https://github.com/apache/incubator-servicecomb-java-chassis/commit/aaaaf5b82fbe1b51383e432db62ef7747734fde0,bug-fix
molgenis__molgenis,f644c955b85060f11a7598ba4b82e0d4cc8b0dd7,https://github.com/molgenis/molgenis/commit/f644c955b85060f11a7598ba4b82e0d4cc8b0dd7,bug-fix
openmrs__openmrs-module-webservices.rest,f6ad0ec8a0c3cb0076f5d05e84148ff22eaf1fbc,https://github.com/openmrs/openmrs-module-webservices.rest/commit/f6ad0ec8a0c3cb0076f5d05e84148ff22eaf1fbc,bug-fix
aicis__fresco,0e9f696a4b198db8d3e5f2e8cdb2fb07eadd1aea,https://github.com/aicis/fresco/commit/0e9f696a4b198db8d3e5f2e8cdb2fb07eadd1aea,not-bug-fix
openmrs__openmrs-module-htmlformentry,901fff84d2a7325645b22fc7885a2713cc9e7ac0,https://github.com/openmrs/openmrs-module-htmlformentry/commit/901fff84d2a7325645b22fc7885a2713cc9e7ac0,not-bug-fix
classgraph__classgraph,2c9cde7a4991c26097c16751757d60331c19130f,https://github.com/classgraph/classgraph/commit/2c9cde7a4991c26097c16751757d60331c19130f,not-bug-fix
brettwooldridge__HikariCP,03a44b7ab5426a32c0a699a9bb21761585e6ae7c,https://github.com/brettwooldridge/HikariCP/commit/03a44b7ab5426a32c0a699a9bb21761585e6ae7c,dont-know
aicis__fresco,fd06695357841374c9f3046fe0f352005c980931,https://github.com/aicis/fresco/commit/fd06695357841374c9f3046fe0f352005c980931,not-bug-fix
brettwooldridge__HikariCP,7f76e3b83329a7be15a2487845451dd5bd431e99,https://github.com/brettwooldridge/HikariCP/commit/7f76e3b83329a7be15a2487845451dd5bd431e99,bug-fix
HubSpot__Baragon,49cedd0656def63e0458c5d2060780fd5980c657,https://github.com/HubSpot/Baragon/commit/49cedd0656def63e0458c5d2060780fd5980c657,bug-fix
brettwooldridge__HikariCP,65c27de32df91ffc4c3b2221f4b65f7d7fb02c14,https://github.com/brettwooldridge/HikariCP/commit/65c27de32df91ffc4c3b2221f4b65f7d7fb02c14,not-bug-fix
apache__incubator-dubbo,edfaee1e89d13aca1aaa230025ba0b661fc9ebef,https://github.com/apache/incubator-dubbo/commit/edfaee1e89d13aca1aaa230025ba0b661fc9ebef,bug-fix
thelastpickle__cassandra-reaper,e89720cbba5f935477f3ae0146096295dda70dc9,https://github.com/thelastpickle/cassandra-reaper/commit/e89720cbba5f935477f3ae0146096295dda70dc9,bug-fix
pippo-java__pippo,bd2ced5db57258db29c012393d5fa6df04f214c7,https://github.com/pippo-java/pippo/commit/bd2ced5db57258db29c012393d5fa6df04f214c7,bug-fix
dungba88__libra,333c493e26b349e0c1ebe36158c2795bca626e24,https://github.com/dungba88/libra/commit/333c493e26b349e0c1ebe36158c2795bca626e24,not-bug-fix
vert-x3__vertx-web,042b487589c4512fc0b3fa61c0ac5d19b150fd3d,https://github.com/vert-x3/vertx-web/commit/042b487589c4512fc0b3fa61c0ac5d19b150fd3d,not-bug-fix
apereo__java-cas-client,649b39b1c8417023c7f2b9f5c94824277e385c7c,https://github.com/apereo/java-cas-client/commit/649b39b1c8417023c7f2b9f5c94824277e385c7c,not-bug-fix
